	cope_ct	cope2_zstat_std	cope2_zstat_mean	cope3_zstat_std	cope3_zstat_mean	cope4_zstat_std	cope4_zstat_mean	cope5_zstat_std	cope5_zstat_mean	cope6_zstat_std	cope6_zstat_mean	cope7_zstat_std	cope7_zstat_mean	cope8_zstat_std	cope8_zstat_mean	cope9_zstat_std	cope9_zstat_mean	cope10_zstat_std	cope10_zstat_mean	cope11_zstat_std	cope11_zstat_mean	cope12_zstat_std	cope12_zstat_mean	cope13_zstat_std	cope13_zstat_mean	cope14_zstat_std	cope14_zstat_mean	cope15_zstat_std	cope15_zstat_mean	cope16_zstat_std	cope16_zstat_mean	cope17_zstat_std	cope17_zstat_mean	cope1_zstat_std	cope1_zstat_mean
sub-085	17	0.079928	0.593329	0.058970	0.559394	-0.060111	0.558645	-0.069576	0.567091	-0.055668	0.544342	0.023294	0.501264	0.034990	0.518345	0.032133	0.525340	-0.016544	0.485478	-0.028372	0.504836	-0.024792	0.508102	-0.068285	0.556676	-0.007463	0.437687	0.007463	0.437687	0.007446	0.436736	-0.007446	0.436736	0.071118	0.586568
sub-086	17	0.023704	0.607412	-0.131482	0.570081	-0.158828	0.695868	0.000751	0.584415	0.142505	0.577745	0.210221	0.724857	0.082501	0.588347	0.165090	0.689952	-0.205196	0.714308	-0.071123	0.581605	-0.156449	0.678236	0.128550	0.571150	0.132093	0.521354	-0.132093	0.521354	-0.136546	0.528307	0.136546	0.528307	0.175241	0.734657
sub-087	17	-0.143087	0.587336	0.167712	0.600209	0.122578	0.534333	0.167139	0.609852	-0.129664	0.549126	-0.193156	0.618701	-0.233692	0.694915	-0.238433	0.701723	0.188738	0.611842	0.230966	0.690491	0.235280	0.696347	-0.144057	0.566765	0.036632	0.433785	-0.036632	0.433785	-0.038775	0.435737	0.038775	0.435737	-0.100364	0.522051
sub-088	17	-0.001927	0.524038	-0.075052	0.520740	0.073112	0.532277	0.031498	0.521528	0.092279	0.527470	-0.017295	0.465150	0.044965	0.508302	0.000124	0.485313	0.027867	0.461755	-0.033849	0.511510	0.011969	0.486912	0.078443	0.519108	-0.026460	0.497857	0.026460	0.497857	0.025858	0.496317	-0.025858	0.496317	-0.051781	0.541483
sub-089	17	-0.204129	0.865238	-0.051474	0.553059	0.133518	0.716781	0.200431	0.848065	0.045651	0.545910	-0.068319	0.572679	-0.128103	0.651659	-0.109064	0.609311	0.074432	0.561854	0.129172	0.644830	0.113618	0.600797	0.045958	0.548427	0.074253	0.617992	-0.074253	0.617992	-0.067799	0.608728	0.067799	0.608728	-0.130621	0.751235
sub-090	17	0.007395	0.517798	-0.147095	0.673335	-0.052409	0.560947	-0.007245	0.490883	0.134672	0.679949	0.124204	0.655515	0.095891	0.613242	0.123482	0.669149	-0.121547	0.636928	-0.088091	0.599041	-0.117911	0.650762	0.134343	0.701793	0.028656	0.470001	-0.028656	0.470001	-0.033980	0.467856	0.033980	0.467856	0.046144	0.595939
sub-091	0.0																																		
sub-092	17	0.016384	0.505327	-0.067332	0.725401	-0.007609	0.443636	-0.016372	0.498753	0.073156	0.735476	0.043067	0.549125	0.051569	0.624530	0.051356	0.611147	-0.055698	0.551996	-0.055431	0.624632	-0.060702	0.613749	0.071464	0.751820	-0.002262	0.460334	0.002262	0.460334	-0.007152	0.459611	0.007152	0.459611	-0.001349	0.449939
sub-093	17	0.016740	0.502112	-0.072615	0.565351	-0.041506	0.515638	0.011134	0.503084	0.090000	0.555120	0.095013	0.567005	0.043595	0.521563	0.072999	0.555784	-0.086637	0.562128	-0.032209	0.523785	-0.061880	0.553487	0.086268	0.573761	0.044736	0.478342	-0.044736	0.478342	-0.047941	0.483085	0.047941	0.483085	0.066403	0.532011
sub-095	17	0.132931	0.590743	-0.165245	0.809446	-0.121872	0.686508	-0.119190	0.578248	0.176814	0.816735	0.206286	0.738097	0.204476	0.687727	0.231451	0.766761	-0.206429	0.735343	-0.201112	0.674579	-0.230469	0.759202	0.190564	0.852580	0.011062	0.460267	-0.011062	0.460267	-0.013900	0.461335	0.013900	0.461335	0.131669	0.684777
sub-096	17	0.044726	0.550374	0.099164	0.560312	-0.064744	0.519017	-0.036368	0.557507	-0.079348	0.549794	0.005736	0.476826	-0.019009	0.467859	-0.004872	0.455213	-0.012245	0.477553	0.014463	0.462793	-0.001138	0.451010	-0.085089	0.547245	0.023360	0.529284	-0.023360	0.529284	-0.025292	0.532778	0.025292	0.532778	0.070477	0.524767
sub-097	17	0.045458	0.538342	-0.114513	0.641983	-0.005960	0.524492	-0.037711	0.527103	0.105586	0.629800	0.079782	0.573382	0.102225	0.645725	0.101137	0.638156	-0.072695	0.561460	-0.091911	0.631039	-0.091602	0.623541	0.107507	0.656630	-0.023340	0.483149	0.023340	0.483149	0.019967	0.479335	-0.019967	0.479335	0.010208	0.535763
sub-098	17	0.024229	0.556110	-0.127655	0.602619	0.135362	0.703356	-0.011187	0.541575	0.133278	0.609031	-0.006969	0.460800	0.099615	0.511099	0.050823	0.462168	0.015361	0.461200	-0.094078	0.501149	-0.043136	0.454614	0.138103	0.612395	-0.132249	0.589729	0.132249	0.589729	0.133708	0.590165	-0.133708	0.590165	-0.117961	0.687761
sub-099	17	0.155654	0.546344	0.024841	0.481262	-0.004134	0.455575	-0.152702	0.549391	-0.030259	0.475070	-0.016384	0.476917	0.108843	0.502253	0.049255	0.473527	0.021001	0.475941	-0.100659	0.498074	-0.042091	0.471454	-0.034302	0.480714	-0.143291	0.540264	0.143291	0.540264	0.138418	0.535219	-0.138418	0.535219	0.003118	0.452702
sub-100	17	0.126021	0.561725	-0.136114	0.554684	-0.036018	0.537512	-0.114114	0.538435	0.137063	0.557339	0.108170	0.600569	0.171476	0.632293	0.156285	0.648580	-0.098541	0.588121	-0.163547	0.619942	-0.146858	0.634707	0.135294	0.561930	-0.079388	0.443202	0.079388	0.443202	0.079900	0.443765	-0.079900	0.443765	0.050549	0.552644
sub-102	17	0.015351	0.475573	-0.048567	0.584954	-0.046904	0.522122	-0.018467	0.474522	0.038057	0.552740	0.054996	0.584679	0.040652	0.487452	0.048585	0.543914	-0.056651	0.574576	-0.038398	0.482110	-0.048239	0.535209	0.039799	0.573383	0.010761	0.466321	-0.010761	0.466321	-0.015165	0.462431	0.015165	0.462431	0.038599	0.523650
sub-103	17	-0.059408	0.545846	-0.032398	0.481380	0.019725	0.570877	0.068392	0.547658	0.030222	0.483609	-0.008893	0.523500	-0.033030	0.499010	-0.022348	0.520671	0.011649	0.519094	0.041317	0.499064	0.028482	0.518513	0.025325	0.485719	0.031971	0.473106	-0.031971	0.473106	-0.036309	0.471090	0.036309	0.471090	-0.016941	0.575560
sub-104	17	0.030014	0.484544	-0.058780	0.501149	-0.049778	0.519195	-0.018191	0.482189	0.063878	0.491686	0.072625	0.486468	0.057706	0.473670	0.071732	0.478513	-0.069716	0.486056	-0.053430	0.470405	-0.067865	0.476044	0.063894	0.491671	0.021834	0.480794	-0.021834	0.480794	-0.023022	0.481037	0.023022	0.481037	0.058262	0.525481
sub-107	17	0.005227	0.509741	0.074365	0.544004	-0.173162	0.654579	-0.000739	0.505048	-0.065622	0.524862	0.091613	0.519219	-0.038030	0.533288	0.028204	0.497475	-0.101392	0.531452	0.037266	0.534846	-0.034210	0.502865	-0.069052	0.548241	0.154441	0.642103	-0.154441	0.642103	-0.162576	0.650471	0.162576	0.650471	0.168478	0.665141
sub-108	17	-0.055256	0.473294	0.050558	0.405868	0.008743	0.421951	0.065544	0.480400	-0.046726	0.405749	-0.022328	0.397787	-0.074028	0.481983	-0.055960	0.444039	0.032387	0.391597	0.080322	0.481294	0.065183	0.441478	-0.048034	0.401727	0.053953	0.446096	-0.053953	0.446096	-0.049329	0.442348	0.049329	0.442348	0.009198	0.425370
sub-109	17	0.021622	0.608438	-0.003683	0.523744	-0.060145	0.620555	-0.007345	0.573450	0.013445	0.505281	0.048540	0.498917	0.023920	0.509052	0.032970	0.502485	-0.055166	0.496518	-0.018519	0.497934	-0.033666	0.492222	0.000924	0.512929	0.038430	0.515573	-0.038430	0.515573	-0.051808	0.522956	0.051808	0.522956	0.058797	0.636465
sub-111	17	0.064331	0.528258	-0.048216	0.465018	-0.072347	0.509734	-0.060662	0.537797	0.053022	0.463725	0.094305	0.480030	0.079622	0.471200	0.096827	0.481669	-0.094145	0.479055	-0.080739	0.475769	-0.097513	0.483785	0.045671	0.467465	0.011569	0.449484	-0.011569	0.449484	-0.010048	0.451352	0.010048	0.451352	0.077839	0.514530
sub-112	17	-0.000592	0.524218	-0.074946	0.519789	0.004632	0.526293	0.010940	0.524486	0.078027	0.527297	0.059845	0.538050	0.047981	0.501071	0.058509	0.527957	-0.053747	0.531013	-0.041072	0.494631	-0.051302	0.521213	0.071624	0.529123	0.012616	0.472473	-0.012616	0.472473	-0.013065	0.466460	0.013065	0.466460	0.004551	0.536012
sub-114	17	0.098568	0.578041	0.013188	0.590253	-0.081957	0.584857	-0.090788	0.570162	-0.020385	0.594886	0.070980	0.484076	0.068321	0.480113	0.077501	0.488118	-0.060884	0.473047	-0.056091	0.470425	-0.065051	0.475356	-0.025242	0.585076	-0.001321	0.453705	0.001321	0.453705	-0.000201	0.454266	0.000201	0.454266	0.088131	0.596227
sub-115	17	-0.023695	0.516172	-0.164364	0.730652	0.057882	0.525119	0.031345	0.503262	0.160476	0.719769	0.068078	0.558491	0.087323	0.576895	0.086529	0.588776	-0.061155	0.554835	-0.079538	0.575790	-0.078555	0.587259	0.145368	0.724716	-0.018048	0.475343	0.018048	0.475343	0.017295	0.471733	-0.017295	0.471733	-0.051276	0.538658
sub-116	17	-0.099758	0.653445	-0.119126	0.652152	-0.016546	0.725669	0.110625	0.652536	0.128351	0.677908	0.096973	0.668864	0.001103	0.576626	0.055601	0.649794	-0.094517	0.661022	0.002423	0.567790	-0.052431	0.640979	0.135432	0.679902	0.104607	0.505468	-0.104607	0.505468	-0.104610	0.503885	0.104610	0.503885	0.026241	0.734884
sub-117	0.0																																		
sub-118	17	-0.051059	0.466133	0.114298	0.676732	-0.059494	0.555907	0.058208	0.448920	-0.095354	0.643076	-0.012321	0.483885	-0.103498	0.528613	-0.061989	0.498018	0.003793	0.482044	0.097569	0.522183	0.054029	0.491294	-0.099068	0.670485	0.100835	0.523368	-0.100835	0.523368	-0.102121	0.526802	0.102121	0.526802	0.063901	0.582703
sub-119	17	-0.029996	0.447044	-0.147149	0.521968	0.099516	0.500177	0.037517	0.445712	0.151204	0.526071	0.000007	0.398721	0.056614	0.427971	0.027215	0.394008	0.000694	0.395685	-0.052486	0.425175	-0.024376	0.390288	0.153108	0.526068	-0.050718	0.475837	0.050718	0.475837	0.046729	0.474102	-0.046729	0.474102	-0.095666	0.498306
